CPE,cluster
C16SC000825R,0
C16SE010255,1
C17SC007432,1
C17SC007452,0
C17SC007487,1
C18LB000167,1
C18LB000173,1
C18SC002011N,0
C18SC002050U,0
C18SC002069,0
C18SC002113,0
C18SC005955,0
C18SC005960J,0
C18SC005963M,0
C20LB001379,1
C21FE004002H,0
C21FE010289Z,0
C22FC002164L,0
C22FC002165M,0
C22FC002170J,0
C22FC002175O,0
C22FC002177Q,1
C23FC001331N,0
C23FC001333P,0
C23FE003152I,0
C23FE003153J,1
D01TE050163,0
D01WF051014,0
D03TD027211,1
D05AE129685,0
D05AE130850,0
D06AE082862,0
D07AE127770V,0
D08AB044387,0
D08AC357150V,0
D08AC395031B,0
D10JC116614G,0
D10OF068767,1
D11JE109235D,0
D12XF094973V,1
D13XF126371P,1
D15XF072893,0
D16BA133407,1
D16BX009425,0
D16BX009428,0
D16XF077374,1
D17BA019937,0
D17BA019938,0
D18BA316162,1
D18BX003233,0
D18BX003239,0
D18BX003284,1
D19BA000196,1
D19BA093038,1
D19BA093039,1
D19BA310997,0
D19BA343472,1
D19BA343473,1
D19BA343474,0
D19BA343504,1
D19BX000040,1
D19BX000041,0
D19BX000057,1
H19VA232210,1
H20VA222003,1
H20VA222016,0
H20VA543760,1
H21OF834686I,0
H21OF834752B,0
H21VA420473Z,1
H21VA420783K,1
I11JB001828,1
I13JA287987,0
I13JA287996,1
I13JE090461J,1
I14JE002622G,1
I16JC098524,1
I17JE060870R,0
I17JE060874,1
I17JE060876,1
I17JE060878,1
I17JE060879,1
I17JE096914,1
I18JC067687,0
I18MF912111K,0
I19JC020003,0
I19JC029846L,0
I19JC029855,0
I19JC029856,0
I19JC029874,1
I19JC029877,1
I19JC029885,0
I19JC065474,0
I19JC065506,0
I19JC065533,0
I19JC065537,0
I19JC065564I,0
I19JE047347N,0
I19MF924543A,1
I19MF927865,0
I20JE060957,0
I20JE060959,1
I20JE067857,0
I20JE067858,0
I20JE067859,0
I20MF944347P,0
I20MF945857,1
I21JC029093K,0
I21JC029107Z,0
I21JC029118C,0
I21JC029120W,0
I21JC029122Y,1
I21JC029129F,0
I21JC029134C,1
I21JC029136E,0
I21JC029148I,0
I21JC029165J,0
I21JC029166K,1
I21JC029323F,0
I21JC029325H,0
I21JC029328K,0
I21JC029332G,0
I21JC029333H,0
I21JC029335J,0
I21JC029336K,0
I21JC029361L,0
I21JC029405G,0
I21JC029465S,0
I21JC029553R,0
I21JC029600H,0
I21JC029635S,0
I21JC029765B,0
I21JC037657V,0
I21JC037658W,0
I21JC037659X,0
I21JC037660Q,0
I21JC037663T,0
I21JC043488L,0
I21JC043489M,0
I21JC043490F,0
I21JC043496L,1
I21JE030622,0
I21LA148189,1
I21LA152238,1
I21LA152381,1
I21LA173758,1
I21LA173785,1
I21LA173999,0
I21LA183439,0
I21LA184421,1
I21LA186120,0
I21LA186299,1
I21LA186317,1
I21LA327835,0
I22JC014373Z,0
I22JC094273K,0
I22JC094276N,0
I22JC094278P,0
I22JC094280J,0
I22JC094282L,0
I22JC094285O,0
I22JC094286P,0
I22JC094287Q,0
I22LA224628,1
I22LA303495,1
I23JC095866,0
I23JC095867,0
I23JC095869,0
I23JC095870,0
I23JC095961O,0
I23JC096059X,0
I23JC096060Q,0
I23JC096061R,0
I23JC096062S,0
I23JC096063T,0
I23JE044621,0
I23LA005984,0
I23LA005997,1
I23LA009785,0
I23LA213007,0
I23LA465873,1
I23LA547069,1
I24LA025413,1
I24LA025880,1
I24LA026648,1
I24LA028096,1
I24LA028098,0
I24LA028157,1
I24LA028258,1
I24LA029109,0
