CPE,dias_com_dados,horas_ativas,consumo_total_m3,motivo
C15FA534254,19,1,0.006,consumo total muito baixo + menos de 6 horas com consumo
C15SC004730,2,1,2.523,menos de 5 dias com dados + menos de 6 horas com consumo
C16SB066962U,18,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
C16SC003896,19,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
C16SE010257A,19,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
C17SC007379,19,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
C17SC007397,14,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
C17SC007472,19,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
C17SC007473,18,1,0.001,consumo total muito baixo + menos de 6 horas com consumo
C17SC007489,19,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
C17SC007492,18,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
C17SC007493,19,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
C17SC007494,19,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
C18SC002021,19,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
C18SC002022,19,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
C18SC002026,13,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
C18SC002034,19,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
C18SC002074,19,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
C18SC002075,19,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
C18SC002081,14,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
C18SC002082,14,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
C18SC002088,19,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
C18SC002098,19,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
C18SC002104,19,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
C18SC005951,19,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
C18SC005956,19,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
C21FE001327,19,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
C21FE004003I,19,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
C21FE010286W,19,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
C22FC001476U,19,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
C22FC002058K,14,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
C22FE011956,19,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
C22FE011961V,19,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
C22FE011963X,19,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
C23FE003151H,19,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
C23FE003163L,14,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
C23FE003164M,19,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
D01TE042969,19,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
D01WF056237,13,1,0.01,consumo total muito baixo + menos de 6 horas com consumo
D03TD038363,19,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
D05AE129686,19,2,0.009,consumo total muito baixo + menos de 6 horas com consumo
D05AE130852,18,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
D07AC001465N,19,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
D07AC001466O,19,1,0.001,consumo total muito baixo + menos de 6 horas com consumo
D07AC003358T,19,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
D07AC003363O,19,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
D07AC004101A,19,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
D07AC116408J,19,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
