CPE,hora,consumo_real,veredicto,data
C15FA534254,0,0.0,normal,2026-05-01
C15FA534254,1,0.0,normal,2026-05-01
C15FA534254,2,0.0,normal,2026-05-01
C15FA534254,3,0.0,normal,2026-05-01
C15FA534254,4,0.0,normal,2026-05-01
C15FA534254,5,0.0,normal,2026-05-01
C15FA534254,6,0.0,normal,2026-05-01
C15FA534254,7,0.0,normal,2026-05-01
C15FA534254,8,0.0,normal,2026-05-01
C15FA534254,9,0.0,normal,2026-05-01
C15FA534254,10,0.0,normal,2026-05-01
C15FA534254,11,0.0,normal,2026-05-01
C15FA534254,12,0.0,normal,2026-05-01
C15FA534254,13,0.0,normal,2026-05-01
C15FA534254,14,0.0,normal,2026-05-01
C15FA534254,15,0.0,normal,2026-05-01
C15FA534254,16,0.0,normal,2026-05-01
C15FA534254,17,0.0,normal,2026-05-01
C15FA534254,18,0.0,normal,2026-05-01
C15FA534254,19,0.0,normal,2026-05-01
C15FA534254,20,0.0,normal,2026-05-01
C15FA534254,21,0.0,normal,2026-05-01
C15FA534254,22,0.0,normal,2026-05-01
C15FA534254,23,0.0,normal,2026-05-01
C16SB066962U,0,0.0,normal,2026-05-01
C16SB066962U,1,0.0,normal,2026-05-01
C16SB066962U,2,0.0,normal,2026-05-01
C16SB066962U,3,0.0,normal,2026-05-01
C16SB066962U,4,0.0,normal,2026-05-01
C16SB066962U,5,0.0,normal,2026-05-01
C16SB066962U,6,0.0,normal,2026-05-01
C16SB066962U,7,0.0,normal,2026-05-01
C16SB066962U,8,0.0,normal,2026-05-01
C16SB066962U,9,0.0,normal,2026-05-01
C16SB066962U,10,0.0,normal,2026-05-01
C16SB066962U,11,0.0,normal,2026-05-01
C16SB066962U,12,0.0,normal,2026-05-01
C16SB066962U,13,0.0,normal,2026-05-01
C16SB066962U,14,0.0,normal,2026-05-01
C16SB066962U,15,0.0,normal,2026-05-01
C16SB066962U,16,0.0,normal,2026-05-01
C16SB066962U,17,0.0,normal,2026-05-01
