CPE,dias_com_dados,horas_com_dados,horas_ativas,consumo_total_m3,consumo_medio_dia_m3,pct_madrugada,pct_laboral,pct_noite,hora_pico,pct_hora_pico,desvios_no_periodo,cluster
C16SC000825R,19,401,22,115.454,6.0765,8.24,61.08,29.49,10,19.73,15,0
C16SE010255,13,287,24,10.502,0.8078,3.4,83.67,11.78,14,15.79,2,1
C17SC007432,19,428,24,21.302,1.1212,0.08,90.39,8.87,14,12.54,5,1
C17SC007452,19,397,6,60.674,3.1934,59.43,11.13,0.0,6,33.44,14,0
C17SC007487,14,280,23,33.338,2.3813,2.42,80.19,17.39,10,14.44,10,1
C18LB000167,19,409,14,2.246,0.1182,0.04,89.4,10.55,12,13.85,0,1
C18LB000173,19,421,15,18.368,0.9667,0.01,94.22,5.77,14,18.56,8,1
C18SC002011N,19,417,20,8.841,0.4653,0.19,52.37,47.44,21,10.6,6,0
C18SC002050U,18,303,24,33.809,1.8783,22.57,33.37,42.36,0,15.42,6,0
C18SC002069,19,433,24,404.799,21.3052,29.77,41.23,24.83,0,4.42,0,0
C18SC002113,19,404,24,469.747,24.7235,19.82,45.38,30.23,16,7.99,5,0
C18SC005955,19,433,24,42.886,2.2572,42.95,46.5,8.99,17,32.53,32,0
C18SC005960J,14,289,24,17.978,1.2841,17.74,32.95,47.35,22,14.2,5,0
C18SC005963M,19,343,24,100.132,5.2701,13.55,45.24,39.5,22,13.15,9,0
C20LB001379,19,425,24,16.618,0.8746,5.27,86.41,7.4,12,23.69,7,1
C21FE004002H,19,433,24,10.796,0.5682,19.03,46.21,33.6,17,9.22,11,0
C21FE010289Z,19,425,24,234.034,12.3176,20.65,46.01,30.43,23,6.12,2,0
C22FC002164L,19,385,24,32.425,1.7066,14.17,49.61,32.43,20,10.73,9,0
C22FC002165M,19,409,24,23.155,1.2187,3.19,55.13,34.75,15,10.52,6,0
C22FC002170J,19,429,24,72.111,3.7953,10.67,50.8,37.62,22,8.52,4,0
C22FC002175O,19,409,24,18.182,0.9569,11.76,42.14,39.33,20,9.25,10,0
C22FC002177Q,19,433,23,5.341,0.2811,2.58,85.7,3.58,8,17.09,4,1
C23FC001331N,18,241,24,32.259,1.7922,23.99,39.68,34.55,20,19.64,10,0
C23FC001333P,18,406,24,20.512,1.1396,8.75,49.57,38.33,21,9.64,11,0
C23FE003152I,19,433,16,5.671,0.2985,2.5,11.25,86.25,21,33.31,7,0
C23FE003153J,19,357,21,1.192,0.0627,7.05,80.54,3.52,12,19.88,0,1
D01TE050163,19,351,8,12.26,0.6453,96.41,1.79,1.79,3,37.44,3,0
D01WF051014,18,374,24,113.0,6.2778,9.85,31.35,57.88,23,14.46,5,0
D03TD027211,19,425,19,15.846,0.834,0.01,92.13,5.23,13,15.02,12,1
D05AE129685,18,253,24,272.034,15.113,72.94,26.24,0.79,4,19.65,14,0
D05AE130850,14,284,24,1.036,0.074,11.49,57.43,27.8,10,6.27,0,0
D06AE082862,19,391,24,213.625,11.2434,87.55,6.83,2.05,2,17.78,12,0
D07AE127770V,19,416,24,0.173,0.0091,63.01,20.23,14.45,1,15.03,0,0
