CPE,cluster
PT0002000032936306KX,2
PT0002000032942455NH,1
PT0002000032966446CC,1
PT0002000032968749YT,0
PT0002000032969229AC,0
PT0002000032976997LZ,0
PT0002000032990792KD,0
PT0002000032993611ME,0
PT0002000033016394FN,0
PT0002000033039837ZH,0
PT0002000033074862LZ,0
PT0002000033085062AW,0
PT0002000033094187PL,0
PT0002000033171958DG,0
PT0002000033186037TF,0
PT0002000033254603ZX,0
PT0002000053093191SV,0
PT0002000065256275YB,1
PT0002000065523872AA,0
PT0002000066469574LZ,0
PT0002000068855003AK,0
PT0002000068856267NC,0
PT0002000068856655YV,0
PT0002000068856781NM,0
PT0002000068856826ZG,0
PT0002000068856872QG,1
PT0002000068856906VS,0
PT0002000068856952LS,2
PT0002000068856974CZ,0
PT0002000068857099AR,1
PT0002000068857897ZV,0
PT0002000068857909SY,1
PT0002000068858231YY,0
PT0002000068858674WN,1
PT0002000068859187RL,0
PT0002000068859325FL,1
PT0002000068859382XF,0
PT0002000068859393XH,1
PT0002000068859597LS,0
PT0002000069698702RB,0
PT0002000069803182JW,2
PT0002000071896778MT,0
PT0002000073231742VK,0
PT0002000073481266XH,0
PT0002000073573036KH,0
PT0002000073598156DE,1
PT0002000073717386HC,1
PT0002000073720434JD,1
PT0002000075637532JB,0
PT0002000077348081AG,0
PT0002000077394934QY,0
PT0002000077647404EM,1
PT0002000078140706BA,1
PT0002000078207354XC,1
PT0002000078233981HJ,1
PT0002000078294957RQ,0
PT0002000078441876HB,0
PT0002000079469719HF,1
PT0002000079901964CJ,2
PT0002000081344542CP,1
PT0002000081997398TD,0
PT0002000082549706RH,0
PT0002000082592498EF,0
PT0002000084414998AX,0
PT0002000085555547GN,2
PT0002000085641795MX,0
PT0002000089069203YG,0
PT0002000100113293JT,0
PT0002000100742616GC,0
PT0002000101964938LF,0
PT0002000102936404ME,1
PT0002000103647515BL,1
PT0002000105483259QH,1
PT0002000106102375RC,0
PT0002000106237165CF,0
PT0002000107046231FW,0
PT0002000107172384HT,1
PT0002000107332489XW,0
PT0002000108315818YN,1
PT0002000109837807PE,1
PT0002000109942242HZ,1
PT0002000110090564GD,1
PT0002000110607652SB,0
PT0002000110814293YC,0
PT0002000111572054VT,0
PT0002000112026362NN,1
PT0002000112171317NK,2
PT0002000112989585PH,0
PT0002000114613364CC,0
PT0002000114685657JR,0
PT0002000115031201VQ,0
PT0002000115673389QK,0
PT0002000115673471CB,0
PT0002000115700602GW,0
PT0002000116530964LH,0
PT0002000117822355RM,1
PT0002000119303492KB,0
PT0002000120237616VJ,0
PT0002000120320157HF,0
PT0002000123648159KR,0
PT0002000123801456QA,0
PT0002000125379984SH,1
PT0002000125701614SQ,1
PT0002000131605602FL,2
PT0002000133505542CK,0
PT0002000133685986TF,2
PT0002000201038711LS,1
PT0002000201936109ME,0
PT0002000203419117SJ,2
PT0002000203886452WB,1
