CPE,cluster,tipo_dia,consumo_real,consumo_habitual,std,z_score,z_real,veredicto,direcao,confianca,n_dias_tipo,fonte_baseline,threshold
PT0002000032934812WB,,fim_semana,1.22,1.49,0.47,-0.56,-0.56,normal,abaixo,alta,15,histórico fim_semana,2.5
PT0002000032934971DD,,fim_semana,2.3,2.79,0.89,-0.55,-0.55,normal,abaixo,alta,15,histórico fim_semana,2.5
PT0002000032934982DC,,fim_semana,1.06,1.32,0.45,-0.56,-0.56,normal,abaixo,alta,15,histórico fim_semana,2.5
PT0002000032935074JC,,fim_semana,1.89,2.31,0.72,-0.59,-0.59,normal,abaixo,alta,15,histórico fim_semana,2.5
PT0002000032935119SL,,fim_semana,1.91,2.33,0.73,-0.57,-0.57,normal,abaixo,alta,15,histórico fim_semana,2.5
PT0002000032935154VP,,fim_semana,2.83,3.49,1.08,-0.61,-0.61,normal,abaixo,alta,15,histórico fim_semana,2.5
PT0002000032935187HH,,fim_semana,2.39,2.92,0.92,-0.57,-0.57,normal,abaixo,alta,15,histórico fim_semana,2.5
PT0002000032935278EV,,fim_semana,0.71,0.86,0.3,-0.51,-0.51,normal,abaixo,alta,15,histórico fim_semana,2.5
PT0002000032935314RF,,fim_semana,3.9,4.84,1.53,-0.62,-0.62,normal,abaixo,alta,15,histórico fim_semana,2.5
PT0002000032935347WV,,fim_semana,1.72,1.78,0.75,-0.07,-0.07,normal,abaixo,alta,15,histórico fim_semana,2.5
PT0002000032935393GV,,fim_semana,1.38,1.68,0.54,-0.56,-0.56,normal,abaixo,alta,15,histórico fim_semana,2.5
PT0002000032935416MV,,fim_semana,1.28,1.57,0.5,-0.59,-0.59,normal,abaixo,alta,15,histórico fim_semana,2.5
PT0002000032935473PM,,fim_semana,1.82,2.21,0.7,-0.57,-0.57,normal,abaixo,alta,15,histórico fim_semana,2.5
PT0002000032935633SG,,fim_semana,1.33,1.6,0.52,-0.52,-0.52,normal,abaixo,alta,15,histórico fim_semana,2.5
PT0002000032935688VJ,,fim_semana,2.28,2.86,0.9,-0.64,-0.64,normal,abaixo,alta,15,histórico fim_semana,2.5
PT0002000032935724LA,,fim_semana,0.57,0.73,0.3,-0.55,-0.55,normal,abaixo,alta,15,histórico fim_semana,2.5
PT0002000032936135ZT,,fim_semana,0.76,0.95,0.3,-0.65,-0.65,normal,abaixo,alta,15,histórico fim_semana,2.5
