CPE,hora,cluster,tipo_dia,consumo_real,consumo_habitual,std,z_score,z_real,veredicto,direcao,confianca,n_dias_tipo,fonte_baseline,threshold
PT0002000033074862LZ,0,0.0,fim_semana,12.0,13.0,1.3,-0.77,-0.77,normal,abaixo,baixa,2,fallback (60d recentes),3.5
PT0002000033074862LZ,1,0.0,fim_semana,14.0,12.0,1.2,1.67,1.67,normal,acima,baixa,2,fallback (60d recentes),3.5
PT0002000033074862LZ,2,0.0,fim_semana,12.0,12.5,1.25,-0.4,-0.4,normal,abaixo,baixa,2,fallback (60d recentes),3.5
PT0002000033074862LZ,3,0.0,fim_semana,12.0,13.0,1.41,-0.71,-0.71,normal,abaixo,baixa,2,fallback (60d recentes),3.5
PT0002000033074862LZ,4,0.0,fim_semana,12.0,12.0,1.2,0.0,0.0,normal,abaixo,baixa,2,fallback (60d recentes),3.5
PT0002000033074862LZ,5,0.0,fim_semana,13.0,12.5,1.25,0.4,0.4,normal,acima,baixa,2,fallback (60d recentes),3.5
PT0002000033074862LZ,6,0.0,fim_semana,12.0,14.0,1.41,-1.41,-1.41,normal,abaixo,baixa,2,fallback (60d recentes),3.5
PT0002000033074862LZ,7,0.0,fim_semana,13.0,30.5,6.36,-2.75,-2.75,normal,abaixo,baixa,2,fallback (60d recentes),3.5
PT0002000033074862LZ,8,0.0,fim_semana,11.0,48.0,4.8,-7.71,-7.71,desvio,abaixo,baixa,2,fallback (60d recentes),3.5
PT0002000033074862LZ,9,0.0,fim_semana,11.0,50.0,9.9,-3.94,-3.94,desvio,abaixo,baixa,2,fallback (60d recentes),3.5
PT0002000033074862LZ,10,0.0,fim_semana,11.0,48.5,4.85,-7.73,-7.73,desvio,abaixo,baixa,2,fallback (60d recentes),3.5
PT0002000033074862LZ,11,0.0,fim_semana,10.0,48.5,12.02,-3.2,-3.2,normal,abaixo,baixa,2,fallback (60d recentes),3.5
PT0002000033074862LZ,12,0.0,fim_semana,10.0,58.5,5.85,-8.29,-8.29,desvio,abaixo,baixa,2,fallback (60d recentes),3.5
PT0002000033074862LZ,13,0.0,fim_semana,11.0,46.0,5.66,-6.19,-6.19,desvio,abaixo,baixa,2,fallback (60d recentes),3.5
PT0002000033074862LZ,14,0.0,fim_semana,10.0,36.5,3.65,-7.26,-7.26,desvio,abaixo,baixa,2,fallback (60d recentes),3.5
PT0002000033074862LZ,15,0.0,fim_semana,10.0,25.0,2.5,-6.0,-6.0,desvio,abaixo,baixa,2,fallback (60d recentes),3.5
PT0002000033074862LZ,16,0.0,fim_semana,11.0,19.5,1.95,-4.36,-4.36,desvio,abaixo,baixa,2,fallback (60d recentes),3.5
PT0002000033074862LZ,17,0.0,fim_semana,13.0,26.5,2.65,-5.09,-5.09,desvio,abaixo,baixa,2,fallback (60d recentes),3.5
