CPE,cluster,tipo_dia,consumo_real,consumo_habitual,std,z_score,z_real,veredicto,direcao,confianca,n_dias_tipo,fonte_baseline,threshold
PT0002000033074862LZ,0.0,dia_util,8.75,8.64,1.2,0.09,0.09,normal,acima,alta,40,histórico dia_util,2.0
PT0002000068855003AK,,dia_util,5.08,6.48,1.1,-1.27,-1.27,normal,abaixo,alta,40,histórico dia_util,2.0
PT0002000068856267NC,,dia_util,16.94,16.71,3.02,0.07,0.07,normal,acima,alta,40,histórico dia_util,2.0
PT0002000068856655YV,0.0,dia_util,2.03,1.74,0.4,0.71,0.71,normal,acima,alta,40,histórico dia_util,2.0
PT0002000068856781NM,0.0,dia_util,27.0,23.18,9.05,0.42,0.42,normal,acima,alta,40,histórico dia_util,2.0
PT0002000068856826ZG,,dia_util,44.29,28.23,9.66,1.66,1.66,normal,acima,alta,40,histórico dia_util,2.0
PT0002000068856872QG,1.0,dia_util,0.07,0.14,0.3,-0.23,-0.23,normal,abaixo,alta,40,histórico dia_util,2.0
PT0002000068856906VS,0.0,dia_util,6.84,5.98,1.99,0.43,0.43,normal,acima,alta,40,histórico dia_util,2.0
PT0002000068856952LS,2.0,dia_util,0.68,0.38,0.43,0.69,0.69,normal,acima,alta,40,histórico dia_util,2.0
PT0002000068856974CZ,,dia_util,5.22,5.94,1.03,-0.7,-0.7,normal,abaixo,alta,40,histórico dia_util,2.0
PT0002000068857099AR,1.0,dia_util,3.58,4.22,0.57,-1.13,-1.13,normal,abaixo,alta,40,histórico dia_util,2.0
PT0002000068857897ZV,0.0,dia_util,15.13,14.17,2.75,0.35,0.35,normal,acima,alta,40,histórico dia_util,2.0
PT0002000068857909SY,1.0,dia_util,4.39,4.82,1.19,-0.36,-0.36,normal,abaixo,alta,40,histórico dia_util,2.0
PT0002000068858231YY,,dia_util,18.91,17.71,4.93,0.24,0.24,normal,acima,alta,40,histórico dia_util,2.0
PT0002000068858674WN,,dia_util,12.93,12.17,3.34,0.22,0.22,normal,acima,alta,40,histórico dia_util,2.0
PT0002000068859187RL,0.0,dia_util,10.78,8.62,1.57,1.37,1.37,normal,acima,alta,40,histórico dia_util,2.0
PT0002000068859325FL,1.0,dia_util,26.69,21.74,6.25,0.79,0.79,normal,acima,alta,40,histórico dia_util,2.0
PT0002000068859382XF,0.0,dia_util,26.67,25.37,5.15,0.25,0.25,normal,acima,alta,40,histórico dia_util,2.0
PT0002000068859393XH,1.0,dia_util,29.26,27.5,5.43,0.33,0.33,normal,acima,alta,40,histórico dia_util,2.0
PT0002000068859597LS,0.0,dia_util,27.57,27.53,6.69,0.01,0.01,normal,acima,alta,40,histórico dia_util,2.0
PT0002000071896778MT,0.0,dia_util,5.83,11.08,8.42,-0.62,-0.62,normal,abaixo,alta,40,histórico dia_util,2.0
PT0002000073231742VK,0.0,dia_util,4.58,5.6,0.77,-1.33,-1.33,normal,abaixo,alta,40,histórico dia_util,2.0
PT0002000073481266XH,0.0,dia_util,5.82,5.3,0.53,0.98,0.98,normal,acima,alta,40,histórico dia_util,2.0
PT0002000073573036KH,,dia_util,49.74,47.9,4.79,0.38,0.38,normal,acima,alta,40,histórico dia_util,2.0
PT0002000073717386HC,,dia_util,1.04,4.76,1.34,-2.78,-2.78,desvio,abaixo,alta,40,histórico dia_util,2.0
PT0002000073720434JD,,dia_util,10.48,13.53,6.55,-0.46,-0.46,normal,abaixo,alta,40,histórico dia_util,2.0
PT0002000075637532JB,0.0,dia_util,5.83,5.45,1.19,0.32,0.32,normal,acima,alta,40,histórico dia_util,2.0
PT0002000077348081AG,,dia_util,16.48,17.6,5.47,-0.2,-0.2,normal,abaixo,alta,40,histórico dia_util,2.0
PT0002000077394934QY,0.0,dia_util,20.39,20.12,2.01,0.13,0.13,normal,acima,alta,40,histórico dia_util,2.0
PT0002000077647404EM,1.0,dia_util,9.63,9.5,2.81,0.05,0.05,normal,acima,alta,40,histórico dia_util,2.0
PT0002000078140706BA,,dia_util,7.14,9.47,3.6,-0.65,-0.65,normal,abaixo,alta,40,histórico dia_util,2.0
PT0002000078207354XC,1.0,dia_util,4.84,3.65,0.93,1.28,1.28,normal,acima,alta,40,histórico dia_util,2.0
PT0002000078233981HJ,1.0,dia_util,3.83,3.49,0.72,0.47,0.47,normal,acima,alta,40,histórico dia_util,2.0
PT0002000078294957RQ,0.0,dia_util,6.96,5.84,1.23,0.9,0.9,normal,acima,alta,40,histórico dia_util,2.0
