CPE,hora,cluster,tipo_dia,consumo_real,consumo_habitual,std,z_score,z_real,veredicto,direcao,confianca,n_dias_tipo,fonte_baseline,threshold
PT0002000033074862LZ,0,0.0,dia_util,11.0,13.0,1.3,-1.54,-1.54,normal,abaixo,baixa,2,fallback (60d recentes),2.0
PT0002000033074862LZ,1,0.0,dia_util,12.0,13.0,1.3,-0.77,-0.77,normal,abaixo,baixa,2,fallback (60d recentes),2.0
PT0002000033074862LZ,2,0.0,dia_util,12.0,13.5,1.35,-1.11,-1.11,normal,abaixo,baixa,2,fallback (60d recentes),2.0
PT0002000033074862LZ,3,0.0,dia_util,12.0,13.0,1.41,-0.71,-0.71,normal,abaixo,baixa,2,fallback (60d recentes),2.0
PT0002000033074862LZ,4,0.0,dia_util,11.0,12.5,1.25,-1.2,-1.2,normal,abaixo,baixa,2,fallback (60d recentes),2.0
PT0002000033074862LZ,5,0.0,dia_util,12.0,13.0,1.3,-0.77,-0.77,normal,abaixo,baixa,2,fallback (60d recentes),2.0
PT0002000033074862LZ,6,0.0,dia_util,12.0,14.0,1.4,-1.43,-1.43,normal,abaixo,baixa,2,fallback (60d recentes),2.0
PT0002000033074862LZ,7,0.0,dia_util,33.0,23.5,13.44,0.71,0.71,normal,acima,baixa,2,fallback (60d recentes),2.0
PT0002000033074862LZ,8,0.0,dia_util,54.0,34.0,31.11,0.64,0.64,normal,acima,baixa,2,fallback (60d recentes),2.0
PT0002000033074862LZ,9,0.0,dia_util,63.0,29.5,26.16,1.28,1.28,normal,acima,baixa,2,fallback (60d recentes),2.0
PT0002000033074862LZ,10,0.0,dia_util,65.0,35.5,34.65,0.85,0.85,normal,acima,baixa,2,fallback (60d recentes),2.0
PT0002000033074862LZ,11,0.0,dia_util,71.0,25.0,19.8,2.32,2.32,desvio,acima,baixa,2,fallback (60d recentes),2.0
PT0002000033074862LZ,12,0.0,dia_util,75.0,14.5,6.36,9.51,9.51,desvio,acima,baixa,2,fallback (60d recentes),2.0
PT0002000033074862LZ,13,0.0,dia_util,53.0,12.5,2.12,10.0,19.09,desvio,acima,baixa,2,fallback (60d recentes),2.0
PT0002000033074862LZ,14,0.0,dia_util,50.0,14.0,2.83,10.0,12.73,desvio,acima,baixa,2,fallback (60d recentes),2.0
PT0002000033074862LZ,15,0.0,dia_util,55.0,13.0,2.83,10.0,14.85,desvio,acima,baixa,2,fallback (60d recentes),2.0
PT0002000033074862LZ,16,0.0,dia_util,46.0,13.5,3.54,9.19,9.19,desvio,acima,baixa,2,fallback (60d recentes),2.0
PT0002000033074862LZ,17,0.0,dia_util,39.0,18.0,5.66,3.71,3.71,desvio,acima,baixa,2,fallback (60d recentes),2.0
PT0002000033074862LZ,18,0.0,dia_util,32.0,16.5,3.54,4.38,4.38,desvio,acima,baixa,2,fallback (60d recentes),2.0
PT0002000033074862LZ,19,0.0,dia_util,20.0,13.0,1.3,5.38,5.38,desvio,acima,baixa,2,fallback (60d recentes),2.0
PT0002000033074862LZ,20,0.0,dia_util,19.0,12.5,1.25,5.2,5.2,desvio,acima,baixa,2,fallback (60d recentes),2.0
PT0002000033074862LZ,21,0.0,dia_util,20.0,14.33,4.51,1.26,1.26,normal,acima,baixa,3,fallback (60d recentes),2.0
PT0002000033074862LZ,22,0.0,dia_util,20.0,14.0,1.73,3.46,3.46,desvio,acima,baixa,3,fallback (60d recentes),2.0
PT0002000033074862LZ,23,0.0,dia_util,19.0,12.67,1.27,5.0,5.0,desvio,acima,baixa,3,fallback (60d recentes),2.0
PT0002000068855003AK,0,,dia_util,11.0,13.0,1.3,-1.54,-1.54,normal,abaixo,baixa,2,fallback (60d recentes),2.0
PT0002000068855003AK,1,,dia_util,10.0,12.5,1.25,-2.0,-2.0,normal,abaixo,baixa,2,fallback (60d recentes),2.0
PT0002000068855003AK,2,,dia_util,11.0,12.0,1.41,-0.71,-0.71,normal,abaixo,baixa,2,fallback (60d recentes),2.0
PT0002000068855003AK,3,,dia_util,11.0,12.0,1.2,-0.83,-0.83,normal,abaixo,baixa,2,fallback (60d recentes),2.0
PT0002000068855003AK,4,,dia_util,10.0,11.5,1.15,-1.3,-1.3,normal,abaixo,baixa,2,fallback (60d recentes),2.0
PT0002000068855003AK,5,,dia_util,10.0,12.0,1.2,-1.67,-1.67,normal,abaixo,baixa,2,fallback (60d recentes),2.0
PT0002000068855003AK,6,,dia_util,10.0,11.0,1.1,-0.91,-0.91,normal,abaixo,baixa,2,fallback (60d recentes),2.0
PT0002000068855003AK,7,,dia_util,16.0,13.0,1.41,2.12,2.12,desvio,acima,baixa,2,fallback (60d recentes),2.0
PT0002000068855003AK,8,,dia_util,28.0,20.0,8.49,0.94,0.94,normal,acima,baixa,2,fallback (60d recentes),2.0
PT0002000068855003AK,9,,dia_util,38.0,26.0,14.14,0.85,0.85,normal,acima,baixa,2,fallback (60d recentes),2.0
PT0002000068855003AK,10,,dia_util,55.0,34.5,21.92,0.94,0.94,normal,acima,baixa,2,fallback (60d recentes),2.0
PT0002000068855003AK,11,,dia_util,58.0,42.5,27.58,0.56,0.56,normal,acima,baixa,2,fallback (60d recentes),2.0
PT0002000068855003AK,12,,dia_util,68.0,41.5,24.75,1.07,1.07,normal,acima,baixa,2,fallback (60d recentes),2.0
PT0002000068855003AK,13,,dia_util,76.0,47.0,29.7,0.98,0.98,normal,acima,baixa,2,fallback (60d recentes),2.0
PT0002000068855003AK,14,,dia_util,74.0,52.0,36.77,0.6,0.6,normal,acima,baixa,2,fallback (60d recentes),2.0
PT0002000068855003AK,15,,dia_util,84.0,66.5,57.28,0.31,0.31,normal,acima,baixa,2,fallback (60d recentes),2.0
PT0002000068855003AK,16,,dia_util,103.0,67.5,60.1,0.59,0.59,normal,acima,baixa,2,fallback (60d recentes),2.0
PT0002000068855003AK,17,,dia_util,93.0,60.0,48.08,0.69,0.69,normal,acima,baixa,2,fallback (60d recentes),2.0
PT0002000068855003AK,18,,dia_util,64.0,46.0,29.7,0.61,0.61,normal,acima,baixa,2,fallback (60d recentes),2.0
PT0002000068855003AK,19,,dia_util,47.0,31.0,9.9,1.62,1.62,normal,acima,baixa,2,fallback (60d recentes),2.0
PT0002000068855003AK,20,,dia_util,27.0,18.0,2.83,3.18,3.18,desvio,acima,baixa,2,fallback (60d recentes),2.0
PT0002000068855003AK,21,,dia_util,20.0,13.67,2.52,2.52,2.52,desvio,acima,baixa,3,fallback (60d recentes),2.0
