CPE,cluster,tipo_dia,consumo_real,consumo_habitual,std,z_score,z_real,veredicto,direcao,confianca,n_dias_tipo,fonte_baseline,threshold
PT0002000033074862LZ,0.0,dia_util,4.0,8.65,1.09,-4.25,-4.25,desvio,abaixo,alta,41,histórico dia_util,2.0
PT0002000068856267NC,,dia_util,12.0,15.91,2.97,-1.32,-1.32,normal,abaixo,alta,41,histórico dia_util,2.0
PT0002000068856655YV,0.0,dia_util,1.0,1.44,0.34,-1.28,-1.28,normal,abaixo,alta,41,histórico dia_util,2.0
PT0002000068856781NM,0.0,dia_util,27.0,26.84,2.68,0.06,0.06,normal,acima,alta,41,histórico dia_util,2.0
PT0002000068856872QG,1.0,dia_util,1.0,0.13,0.3,2.9,2.9,desvio,acima,alta,41,histórico dia_util,2.0
PT0002000068856952LS,2.0,dia_util,0.0,0.37,0.43,-0.86,-0.86,normal,abaixo,alta,41,histórico dia_util,2.0
PT0002000068856974CZ,,dia_util,3.0,5.36,0.89,-2.66,-2.66,desvio,abaixo,alta,41,histórico dia_util,2.0
PT0002000068857099AR,1.0,dia_util,3.0,3.73,0.48,-1.54,-1.54,normal,abaixo,alta,41,histórico dia_util,2.0
PT0002000068857897ZV,0.0,dia_util,7.0,13.61,2.85,-2.32,-2.32,desvio,abaixo,alta,41,histórico dia_util,2.0
PT0002000068857909SY,1.0,dia_util,8.0,4.2,1.42,2.68,2.68,desvio,acima,alta,41,histórico dia_util,2.0
PT0002000068858231YY,,dia_util,8.0,17.52,3.75,-2.54,-2.54,desvio,abaixo,alta,41,histórico dia_util,2.0
PT0002000068858674WN,,dia_util,4.0,11.5,3.47,-2.16,-2.16,desvio,abaixo,alta,41,histórico dia_util,2.0
PT0002000068859187RL,0.0,dia_util,3.0,9.38,1.36,-4.7,-4.7,desvio,abaixo,alta,41,histórico dia_util,2.0
PT0002000068859325FL,1.0,dia_util,24.0,24.69,9.61,-0.07,-0.07,normal,abaixo,alta,41,histórico dia_util,2.0
PT0002000068859382XF,0.0,dia_util,12.0,23.57,5.54,-2.09,-2.09,desvio,abaixo,alta,41,histórico dia_util,2.0
PT0002000068859393XH,1.0,dia_util,9.0,25.67,3.58,-4.66,-4.66,desvio,abaixo,alta,41,histórico dia_util,2.0
PT0002000068859597LS,0.0,dia_util,18.0,25.96,5.56,-1.43,-1.43,normal,abaixo,alta,41,histórico dia_util,2.0
PT0002000071896778MT,0.0,dia_util,2.0,5.15,1.06,-2.96,-2.96,desvio,abaixo,alta,41,histórico dia_util,2.0
PT0002000073231742VK,0.0,dia_util,3.0,5.71,0.57,-4.75,-4.75,desvio,abaixo,alta,41,histórico dia_util,2.0
PT0002000073481266XH,0.0,dia_util,2.0,5.29,0.97,-3.39,-3.39,desvio,abaixo,alta,41,histórico dia_util,2.0
PT0002000073717386HC,,dia_util,0.0,4.29,1.73,-2.47,-2.47,desvio,abaixo,alta,41,histórico dia_util,2.0
PT0002000073720434JD,,dia_util,6.0,12.63,6.91,-0.96,-0.96,normal,abaixo,alta,41,histórico dia_util,2.0
PT0002000075637532JB,0.0,dia_util,1.0,5.32,1.09,-3.98,-3.98,desvio,abaixo,alta,41,histórico dia_util,2.0
PT0002000077394934QY,0.0,dia_util,16.0,20.0,2.0,-2.0,-2.0,desvio,abaixo,alta,41,histórico dia_util,2.0
PT0002000077647404EM,1.0,dia_util,23.0,9.63,3.22,4.16,4.16,desvio,acima,alta,41,histórico dia_util,2.0
PT0002000078207354XC,1.0,dia_util,1.0,3.78,0.92,-3.02,-3.02,desvio,abaixo,alta,41,histórico dia_util,2.0
PT0002000078233981HJ,1.0,dia_util,0.0,3.24,1.12,-2.91,-2.91,desvio,abaixo,alta,41,histórico dia_util,2.0
PT0002000078294957RQ,0.0,dia_util,2.0,5.94,0.96,-4.09,-4.09,desvio,abaixo,alta,41,histórico dia_util,2.0
PT0002000079469719HF,,dia_util,25.0,28.84,2.88,-1.33,-1.33,normal,abaixo,alta,41,histórico dia_util,2.0
PT0002000081344542CP,1.0,dia_util,0.0,2.97,1.43,-2.08,-2.08,desvio,abaixo,alta,41,histórico dia_util,2.0
PT0002000082549706RH,0.0,dia_util,24.0,11.02,6.48,2.01,2.01,desvio,acima,alta,41,histórico dia_util,2.0
PT0002000101964938LF,0.0,dia_util,2.0,5.36,0.97,-3.48,-3.48,desvio,abaixo,alta,41,histórico dia_util,2.0
PT0002000102936404ME,1.0,dia_util,7.0,4.81,1.1,2.0,2.0,normal,acima,alta,41,histórico dia_util,2.0
PT0002000103647515BL,,dia_util,1.0,0.19,0.3,2.71,2.71,desvio,acima,alta,41,histórico dia_util,2.0
PT0002000105483259QH,1.0,dia_util,1.0,0.3,0.3,2.33,2.33,desvio,acima,alta,41,histórico dia_util,2.0
PT0002000106102375RC,,dia_util,8.0,11.09,2.34,-1.32,-1.32,normal,abaixo,alta,41,histórico dia_util,2.0
